,起点城市,起点城市所属地级市,起点城市所属省份,起点机场,终点城市,终点城市所属地级市,终点城市所属省份,终点机场,航空公司,航班,机型,出发时间,到达时间,准点率,班次_周一,班次_周二,班次_周三,班次_周四,班次_周五,班次_周六,班次_周日
0,深圳,深圳市,广东省,深圳宝安国际机场T3,呼和浩特,呼和浩特市,内蒙古自治区,呼和浩特白塔国际机场,金鹏航空,Y87521,波音737-800（中型）,7:15,10:45,97%,1,1,1,1,1,1,1
1,深圳,深圳市,广东省,深圳宝安国际机场T3,呼和浩特,呼和浩特市,内蒙古自治区,呼和浩特白塔国际机场,中国国航,CA3427,波音737-800（中型）,7:55,13:00,95%,1,1,1,1,1,1,1
2,深圳,深圳市,广东省,深圳宝安国际机场T3,呼和浩特,呼和浩特市,内蒙古自治区,呼和浩特白塔国际机场,昆明航空,KY9127,波音737-800（中型）,7:55,13:00,95%,1,1,1,1,1,1,1
3,深圳,深圳市,广东省,深圳宝安国际机场T3,呼和浩特,呼和浩特市,内蒙古自治区,呼和浩特白塔国际机场,深圳航空,ZH9127,波音737-800（中型）,7:55,13:00,95%,1,1,1,1,1,1,1
4,深圳,深圳市,广东省,深圳宝安国际机场T3,呼和浩特,呼和浩特市,内蒙古自治区,呼和浩特白塔国际机场,海南航空,HU7203,波音737-800（中型）,12:10,16:50,89%,0,0,0,0,0,0,1
5,深圳,深圳市,广东省,深圳宝安国际机场T3,呼和浩特,呼和浩特市,内蒙古自治区,呼和浩特白塔国际机场,南方航空,CZ6763,空中客车A321（中型）,13:50,19:20,93%,1,0,0,0,0,0,0
6,深圳,深圳市,广东省,深圳宝安国际机场T3,呼和浩特,呼和浩特市,内蒙古自治区,呼和浩特白塔国际机场,厦门航空,MF4474,,13:50,19:20,93%,1,0,0,0,0,0,0
7,深圳,深圳市,广东省,深圳宝安国际机场T3,呼和浩特,呼和浩特市,内蒙古自治区,呼和浩特白塔国际机场,海南航空,HU7203,波音737-800（中型）,14:15,19:00,89%,1,0,0,0,1,0,0
8,深圳,深圳市,广东省,深圳宝安国际机场T3,呼和浩特,呼和浩特市,内蒙古自治区,呼和浩特白塔国际机场,南方航空,CZ6763,空中客车A321（中型）,14:40,19:20,93%,0,0,1,0,1,0,0
9,深圳,深圳市,广东省,深圳宝安国际机场T3,呼和浩特,呼和浩特市,内蒙古自治区,呼和浩特白塔国际机场,厦门航空,MF4474,,14:40,19:20,93%,0,0,1,0,1,0,0
10,深圳,深圳市,广东省,深圳宝安国际机场T3,呼和浩特,呼和浩特市,内蒙古自治区,呼和浩特白塔国际机场,南方航空,CZ6478,波音737-200（中型）,17:35,22:45,82%,1,1,1,1,1,1,1
11,深圳,深圳市,广东省,深圳宝安国际机场T3,呼和浩特,呼和浩特市,内蒙古自治区,呼和浩特白塔国际机场,厦门航空,MF4199,波音737（中型）,17:35,22:45,82%,1,1,1,1,1,1,1
12,武汉,武汉市,湖北省,武汉天河国际机场T3,昆明,昆明市,云南省,昆明长水国际机场,祥鹏航空,8L9940,空中客车A320（中型）,7:10,9:40,98%,0,1,1,1,1,1,1
13,武汉,武汉市,湖北省,武汉天河国际机场T3,昆明,昆明市,云南省,昆明长水国际机场,东方航空,MU2497,波音737-900ER（中型）,7:30,10:00,97%,0,1,0,0,0,1,0
